panel,problem,method,family,calls,accepted,time_improvements,alternative_parent_calls,alternative_parent_time_improvements,strictly_worse_parent_calls,generation_seconds
P23验证v2,2,budget_beam,structure_pair,6,2,2,6,2,6,0.0
P23验证v2,2,budget_greedy,data,7,3,3,0,0,0,28.93343574902974
P23验证v2,2,budget_greedy,legacy,9,1,1,0,0,0,1.1147838750621304
P23验证v2,2,budget_greedy,region,10,3,3,0,0,0,3.539593791938387
P23验证v2,2,budget_greedy,structure,16,0,0,0,0,0,0.0
P23验证v2,2,budget_greedy,structure_pair,6,2,2,6,2,6,0.0
P23验证v2,2,local_legacy,legacy,29,5,5,0,0,0,2.3000668372260407
P23验证v2,2,local_legacy,structure,14,1,1,0,0,0,0.0
P23验证v2,2,local_legacy,structure_pair,5,2,2,4,1,4,0.0
P23验证v2,2,wide_legacy,legacy,29,5,5,0,0,0,2.1044956701807678
P23验证v2,2,wide_legacy,structure,14,0,0,0,0,0,0.0
P23验证v2,2,wide_legacy,structure_pair,5,2,2,5,2,5,0.0
P23验证v2,3,budget_beam,data,7,4,4,4,2,2,29.38363004103303
P23验证v2,3,budget_beam,legacy,9,1,1,0,0,0,5.973201085114852
P23验证v2,3,budget_beam,region,11,3,3,6,2,5,5.977611539885402
P23验证v2,3,budget_beam,structure,16,0,0,0,0,0,0.0
P23验证v2,3,budget_beam,structure_pair,5,1,1,5,1,5,0.0
P23验证v2,3,budget_greedy,data,7,4,4,0,0,0,29.114539292058907
P23验证v2,3,budget_greedy,legacy,9,1,1,0,0,0,5.957789792213589
P23验证v2,3,budget_greedy,region,11,3,3,0,0,0,3.751891750842333
P23验证v2,3,budget_greedy,structure,16,0,0,0,0,0,0.0
P23验证v2,3,budget_greedy,structure_pair,5,1,1,5,1,5,0.0
P23验证v2,3,local_legacy,legacy,36,11,10,0,0,0,14.4316661672201
P23验证v2,3,local_legacy,structure,8,0,0,0,0,0,0.0
P23验证v2,3,local_legacy,structure_pair,4,2,2,4,2,4,0.0
P23验证v2,3,wide_legacy,legacy,36,10,9,0,0,0,15.139352667145431
P23验证v2,3,wide_legacy,structure,8,0,0,0,0,0,0.0
P23验证v2,3,wide_legacy,structure_pair,4,1,1,4,1,4,0.0
